"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D132";"LED-5MM";1;"H12";;;
2;"D1";"LED-5MM";1;"S00";;;
3;"D6";"LED-5MM";1;"S05";;;
4;"D61";"LED-5MM";1;"M00";;;
5;"D66";"LED-5MM";1;"M05";;;
6;"D121";"LED-5MM";1;"H01";;;
7;"D2";"LED-3MM";1;"S01";;;
8;"D3";"LED-3MM";1;"S02";;;
9;"D4";"LED-3MM";1;"S03";;;
10;"D5";"LED-3MM";1;"S04";;;
11;"D62";"LED-3MM";1;"M01";;;
12;"D63";"LED-3MM";1;"M02";;;
13;"D64";"LED-3MM";1;"M03";;;
14;"D65";"LED-3MM";1;"M04";;;
15;"D11";"LED-5MM";1;"S10";;;
16;"D71";"LED-5MM";1;"M10";;;
17;"D122";"LED-5MM";1;"H02";;;
18;"D7";"LED-3MM";1;"S06";;;
19;"D8";"LED-3MM";1;"S07";;;
20;"D9";"LED-3MM";1;"S08";;;
21;"D10";"LED-3MM";1;"S09";;;
22;"D67";"LED-3MM";1;"M06";;;
23;"D68";"LED-3MM";1;"M07";;;
24;"D69";"LED-3MM";1;"M08";;;
25;"D70";"LED-3MM";1;"M09";;;
26;"D16";"LED-5MM";1;"S15";;;
27;"D76";"LED-5MM";1;"M15";;;
28;"D123";"LED-5MM";1;"H03";;;
29;"D12";"LED-3MM";1;"S11";;;
30;"D13";"LED-3MM";1;"S12";;;
31;"D14";"LED-3MM";1;"S13";;;
32;"D15";"LED-3MM";1;"S14";;;
33;"D72";"LED-3MM";1;"M11";;;
34;"D73";"LED-3MM";1;"M12";;;
35;"D74";"LED-3MM";1;"M13";;;
36;"D75";"LED-3MM";1;"M14";;;
37;"D21";"LED-5MM";1;"S20";;;
38;"D81";"LED-5MM";1;"M20";;;
39;"D124";"LED-5MM";1;"H04";;;
40;"D17";"LED-3MM";1;"S16";;;
41;"D18";"LED-3MM";1;"S17";;;
42;"D19";"LED-3MM";1;"S18";;;
43;"D20";"LED-3MM";1;"S19";;;
44;"D77";"LED-3MM";1;"M16";;;
45;"D78";"LED-3MM";1;"M17";;;
46;"D79";"LED-3MM";1;"M18";;;
47;"D80";"LED-3MM";1;"M19";;;
48;"D26";"LED-5MM";1;"S25";;;
49;"D86";"LED-5MM";1;"M25";;;
50;"D125";"LED-5MM";1;"H05";;;
51;"D22";"LED-3MM";1;"S21";;;
52;"D23";"LED-3MM";1;"S22";;;
53;"D24";"LED-3MM";1;"S23";;;
54;"D25";"LED-3MM";1;"S24";;;
55;"D82";"LED-3MM";1;"M21";;;
56;"D83";"LED-3MM";1;"M22";;;
57;"D84";"LED-3MM";1;"M23";;;
58;"D85";"LED-3MM";1;"M24";;;
59;"D31";"LED-5MM";1;"S30";;;
60;"D91";"LED-5MM";1;"M30";;;
61;"D126";"LED-5MM";1;"H06";;;
62;"D27";"LED-3MM";1;"S26";;;
63;"D28";"LED-3MM";1;"S27";;;
64;"D29";"LED-3MM";1;"S28";;;
65;"D30";"LED-3MM";1;"S29";;;
66;"D87";"LED-3MM";1;"M26";;;
67;"D88";"LED-3MM";1;"M27";;;
68;"D89";"LED-3MM";1;"M28";;;
69;"D90";"LED-3MM";1;"M29";;;
70;"D36";"LED-5MM";1;"S35";;;
71;"D96";"LED-5MM";1;"M35";;;
72;"D127";"LED-5MM";1;"H07";;;
73;"D32";"LED-3MM";1;"S31";;;
74;"D33";"LED-3MM";1;"S32";;;
75;"D34";"LED-3MM";1;"S33";;;
76;"D35";"LED-3MM";1;"S34";;;
77;"D92";"LED-3MM";1;"M31";;;
78;"D93";"LED-3MM";1;"M32";;;
79;"D94";"LED-3MM";1;"M33";;;
80;"D95";"LED-3MM";1;"M34";;;
81;"D41";"LED-5MM";1;"S40";;;
82;"D101";"LED-5MM";1;"M40";;;
83;"D128";"LED-5MM";1;"H08";;;
84;"D37";"LED-3MM";1;"S36";;;
85;"D38";"LED-3MM";1;"S37";;;
86;"D39";"LED-3MM";1;"S38";;;
87;"D40";"LED-3MM";1;"S39";;;
88;"D97";"LED-3MM";1;"M36";;;
89;"D98";"LED-3MM";1;"M37";;;
90;"D99";"LED-3MM";1;"M38";;;
91;"D100";"LED-3MM";1;"M39";;;
92;"R1,R4,R5,R23";"R-1_8";4;"100R";;;
93;"R2,R3";"R-1_8";2;"680R";;;
94;"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17";"R-1_8";12;"330R";;;
95;"R18";"R-1_8";1;"10K";;;
96;"R19,R21,R22";"R-1_8";3;"68K";;;
97;"C1,C2,C5,C6,C7,C8,C9";"C-100";7;"100nF";;;
98;"D133";"D-DO41";1;"1N5817";;;
99;"D46";"LED-5MM";1;"S45";;;
100;"D106";"LED-5MM";1;"M45";;;
101;"D129";"LED-5MM";1;"H09";;;
102;"D42";"LED-3MM";1;"S41";;;
103;"D43";"LED-3MM";1;"S42";;;
104;"D44";"LED-3MM";1;"S43";;;
105;"D45";"LED-3MM";1;"S44";;;
106;"D102";"LED-3MM";1;"M41";;;
107;"D103";"LED-3MM";1;"M42";;;
108;"D104";"LED-3MM";1;"M43";;;
109;"D105";"LED-3MM";1;"M44";;;
110;"D134";"LED-3MM";1;"AM/PM";;;
111;"D135";"LED-3MM";1;"ALARM";;;
112;"D51";"LED-5MM";1;"S50";;;
113;"D111";"LED-5MM";1;"M50";;;
114;"D130";"LED-5MM";1;"H10";;;
115;"D47";"LED-3MM";1;"S46";;;
116;"D48";"LED-3MM";1;"S47";;;
117;"D49";"LED-3MM";1;"S48";;;
118;"D50";"LED-3MM";1;"S49";;;
119;"D107";"LED-3MM";1;"M46";;;
120;"D108";"LED-3MM";1;"M47";;;
121;"D109";"LED-3MM";1;"M48";;;
122;"D110";"LED-3MM";1;"M49";;;
123;"D56";"LED-5MM";1;"S55";;;
124;"D116";"LED-5MM";1;"M55";;;
125;"D131";"LED-5MM";1;"H11";;;
126;"D52";"LED-3MM";1;"S51";;;
127;"D53";"LED-3MM";1;"S52";;;
128;"D54";"LED-3MM";1;"S53";;;
129;"D55";"LED-3MM";1;"S54";;;
130;"D112";"LED-3MM";1;"M51";;;
131;"D113";"LED-3MM";1;"M52";;;
132;"D114";"LED-3MM";1;"M53";;;
133;"D115";"LED-3MM";1;"M54";;;
134;"D57";"LED-3MM";1;"S56";;;
135;"D58";"LED-3MM";1;"S57";;;
136;"D59";"LED-3MM";1;"S58";;;
137;"D60";"LED-3MM";1;"S59";;;
138;"D117";"LED-3MM";1;"M56";;;
139;"D118";"LED-3MM";1;"M57";;;
140;"D119";"LED-3MM";1;"M58";;;
141;"D120";"LED-3MM";1;"M59";;;
142;"SW1";"SW-TACT-6mm-CORNER";1;"ALARM";;;
143;"SW2";"SW-TACT-6mm-CORNER";1;"SET";;;
144;"SW3";"SW-TACT-6mm-CORNER";1;"MODE";;;
145;"SW4";"SW-TACT-6mm-CORNER";1;"~RESET~";;;
146;"P1";"ROW_HOLES_3";1;"5V__3V3";;;
147;"MH1,MH2,MH3,MH4";"HOLE-MOUNT";4;"MOUNT_HOLE";;;
148;"X1";"CRYSTAL-CF-206";1;"32.768KHz";;;
149;"PZ1";"PIEZO-PS1240P02BT";1;"PIEZO";;;
150;"L1";"IND-WE-2.5mm";1;"10µH";;;
151;"C3,C4";"CP-2.0mm-PTH";2;"100µF";;;
152;"JP1";"ROW_HOLES_2";1;"SHUNT";;;
153;"BT1";"BATT-2xAA-BH2AA-PC";1;"BATTERY";;;
154;"CON1";"AVR-ISP-6";1;"AVR-ISP-6";;;
155;"IC1";"ATMEGA48-DIP28";1;"ATMEGA48";;;
156;"U1";"LT1300-DIP8";1;"LT1300";;;
